,Name,Jersey Number,Club,Position,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Defender,Forward,Midfielder,Goalkeeper
52,Jota,23.0,Aston Villa,Midfielder,Spain,29.0,10,2,7,0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,17%,0.0,0.0,,,3.0,33%,,4.0,3.0,5.0,1.0,,26.0,13.0,25.0,7.0,1.0,2.0,,0.0,1,93,9.3,1.0,2.0,2%,2.0,6.0,,,,,,,,,0,0,6,0.0,0,0,Jota,0
53,Jacob Ramsey,41.0,Aston Villa,Midfielder,England,19.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,0,0,Jacob Ramsey,0
54,Wesley,9.0,Aston Villa,Forward,Brazil,23.0,21,6,12,5,0.24,0.0,5.0,0.0,0.0,0.0,35.0,18.0,51%,1.0,5.0,,,15.0,,,8.0,4.0,23.0,18.0,,,,,,,,,,1,367,17.48,1.0,7.0,,,,,,,,,,,,3,0,43,14.0,0,Wesley,0,0
55,Keinan Davis,39.0,Aston Villa,Forward,England,22.0,19,4,9,0,19.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,29%,0.0,3.0,,,1.0,,,2.0,0.0,4.0,3.0,,,,,,,,,,0,149,7.84,0.0,3.0,,,,,,,,,,,,0,0,12,3.0,0,Keinan Davis,0,0
56,Ollie Watkins,11.0,Aston Villa,Forward,England,24.0,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3%,0.0,0.0,,,0.0,,,1.0,0.0,0.0,0.0,,,,,,,,,,0,19,19.0,0.0,0.0,,,,,,,,,,,,0,0,2,1.0,0,Ollie Watkins,0,0
57,Bertrand Traoré,,Aston Villa,Forward,Burkina Faso,25.0,10,2,4,2,0.2,0.0,0.0,2.0,0.0,0.0,17.0,6.0,35%,0.0,0.0,,,9.0,,,7.0,2.0,3.0,1.0,,,,,,,,,,1,136,13.6,1.0,3.0,,,,,,,,,,,,0,0,3,5.0,0,Bertrand Traoré,0,0
58,Mat Ryan,1.0,Brighton,Goalkeeper,Australia,28.0,112,27,50,0,,,,,,,,,,,,26.0,166.0,,,,,,,,,,,,,,,0.0,2.0,0,3272,29.21,,,,,964.0,340.0,2.0,32.0,68.0,17.0,15.0,491.0,956.0,2,0,2,,0,0,0,Mat Ryan
59,Jason Steele,23.0,Brighton,Goalkeeper,England,30.0,0,0,0,0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,0,0,Jason Steele
60,Christian Walton,31.0,Brighton,Goalkeeper,England,24.0,0,0,0,0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,0,0,Christian Walton
61,Robert Sánchez,26.0,Brighton,Goalkeeper,Spain,22.0,0,0,0,0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,0,0,Robert Sánchez
